[1] x y
[1] 0 0
[1] 1 0.0174524064372835
[1] 2 0.034899496702501
[1] 3 0.0523359562429438
[1] 4 0.0697564737441253
[1] 5 0.0871557427476582
[1] 6 0.104528463267653
[1] 7 0.121869343405147
[1] 8 0.139173100960065
[1] 9 0.156434465040231
[1] 10 0.17364817766693
[1] 11 0.190808995376545
[1] 12 0.207911690817759
[1] 13 0.224951054343865
[1] 14 0.241921895599668
[1] 15 0.258819045102521
[1] 16 0.275637355816999
[1] 17 0.292371704722737
[1] 18 0.309016994374947
[1] 19 0.325568154457157
[1] 20 0.342020143325669
[1] 21 0.3583679495453
[1] 22 0.374606593415912
[1] 23 0.390731128489274
[1] 24 0.4067366430758
[1] 25 0.422618261740699
[1] 26 0.438371146789077
[1] 27 0.453990499739547
[1] 28 0.469471562785891
[1] 29 0.484809620246337
[1] 30 0.5
[1] 31 0.515038074910054
[1] 32 0.529919264233205
[1] 33 0.544639035015027
[1] 34 0.559192903470747
[1] 35 0.573576436351046
[1] 36 0.587785252292473
[1] 37 0.601815023152048
[1] 38 0.615661475325658
[1] 39 0.629320391049837
[1] 40 0.642787609686539
[1] 41 0.656059028990507
[1] 42 0.669130606358858
[1] 43 0.681998360062498
[1] 44 0.694658370458997
[1] 45 0.707106781186547
[1] 46 0.719339800338651
[1] 47 0.73135370161917
[1] 48 0.743144825477394
[1] 49 0.754709580222772
[1] 50 0.766044443118978
[1] 51 0.777145961456971
[1] 52 0.788010753606722
[1] 53 0.798635510047293
[1] 54 0.809016994374947
[1] 55 0.819152044288992
[1] 56 0.829037572555042
[1] 57 0.838670567945424
[1] 58 0.848048096156426
[1] 59 0.857167300702112
[1] 60 0.866025403784439
[1] 61 0.874619707139396
[1] 62 0.882947592858927
[1] 63 0.891006524188368
[1] 64 0.898794046299167
[1] 65 0.90630778703665
[1] 66 0.913545457642601
[1] 67 0.92050485345244
[1] 68 0.927183854566787
[1] 69 0.933580426497202
[1] 70 0.939692620785908
[1] 71 0.945518575599317
[1] 72 0.951056516295154
[1] 73 0.956304755963035
[1] 74 0.961261695938319
[1] 75 0.965925826289068
[1] 76 0.970295726275996
[1] 77 0.974370064785235
[1] 78 0.978147600733806
[1] 79 0.981627183447664
[1] 80 0.984807753012208
[1] 81 0.987688340595138
[1] 82 0.99026806874157
[1] 83 0.992546151641322
[1] 84 0.994521895368273
[1] 85 0.996194698091746
[1] 86 0.997564050259824
[1] 87 0.998629534754574
[1] 88 0.999390827019096
[1] 89 0.999847695156391
[1] 90 1
[1] 91 0.999847695156391
[1] 92 0.999390827019096
[1] 93 0.998629534754574
[1] 94 0.997564050259824
[1] 95 0.996194698091746
[1] 96 0.994521895368273
[1] 97 0.992546151641322
[1] 98 0.99026806874157
[1] 99 0.987688340595138
[1] 100 0.984807753012208
[1] 101 0.981627183447664
[1] 102 0.978147600733806
[1] 103 0.974370064785235
[1] 104 0.970295726275996
[1] 105 0.965925826289068
[1] 106 0.961261695938319
[1] 107 0.956304755963036
[1] 108 0.951056516295154
[1] 109 0.945518575599317
[1] 110 0.939692620785908
[1] 111 0.933580426497202
[1] 112 0.927183854566787
[1] 113 0.92050485345244
[1] 114 0.913545457642601
[1] 115 0.90630778703665
[1] 116 0.898794046299167
[1] 117 0.891006524188368
[1] 118 0.882947592858927
[1] 119 0.874619707139396
[1] 120 0.866025403784439
[1] 121 0.857167300702112
[1] 122 0.848048096156426
[1] 123 0.838670567945424
[1] 124 0.829037572555042
[1] 125 0.819152044288992
[1] 126 0.809016994374947
[1] 127 0.798635510047293
[1] 128 0.788010753606722
[1] 129 0.777145961456971
[1] 130 0.766044443118978
[1] 131 0.754709580222772
[1] 132 0.743144825477394
[1] 133 0.731353701619171
[1] 134 0.719339800338651
[1] 135 0.707106781186548
[1] 136 0.694658370458997
[1] 137 0.681998360062499
[1] 138 0.669130606358858
[1] 139 0.656059028990507
[1] 140 0.642787609686539
